Time,Force
0,6.25
0.050000001,6.25
0.100000001,6.25
0.150000006,6.25
0.200000003,6.25
0.25,6.25
0.300000012,6.25
0.349999994,6.25
0.400000006,6.25
0.449999988,6.25
0.5,6.25
0.550000012,6.25
0.600000024,6.25
0.649999976,6.25
0.699999988,6.25
0.75,6.25
0.800000012,6.25
0.850000024,6.25
0.899999976,6.25
0.949999988,6.25
1,6.25
